,Date,Content,Label
83,2022-04-05 18:42:28+00:00," setau ku mama untuk sebagai desainer atau ilustrator dan papa untuk sebutan rigger l ",2
84,2022-04-05 18:31:06+00:00," wait andi manggil mamamiti manggil papajadi mana yg bener ",0
85,2022-04-05 18:08:49+00:00," segan ",1
86,2022-04-05 17:51:14+00:00," aseekk bisa ikut sebentar doang ",2
87,2022-04-05 17:45:39+00:00," sahur apa kita mitt mau aku beliin ",2
88,2022-04-05 17:40:18+00:00," yoo walaupun saya gapuasa tetep nonton aja lah semangat gaes yang puasa ",2
89,2022-04-05 17:40:16+00:00," sahur bareng ikujoooo ",2
90,2022-04-05 16:20:22+00:00," gini amat ngontrak di bumi ",2
91,2022-04-05 15:54:22+00:00," beren banget ",2
92,2022-04-05 15:10:35+00:00," sama sama ketec gang tapi andi blom udel gang ",2
93,2022-04-05 14:56:15+00:00," hemm gundam seed ya nstory ny drama percintaan ribet berkedok mecha beda sama seri gundam yg lain v ",2
94,2022-04-05 14:35:07+00:00," sainganmu banyak mit ",2
95,2022-04-05 14:31:00+00:00," sainganmu nambah mit ",2
96,2022-04-05 14:24:30+00:00," freetalk breng andi gass gk sih",2
97,2022-04-05 14:08:00+00:00," akur bgt siii betumbuk lah lt ",2
98,2022-04-05 13:57:44+00:00," makasih ueueeee ",2
99,2022-04-05 13:54:08+00:00," ntaps sebelahan ",2
100,2022-04-05 13:44:04+00:00," abang ya mit yaa abang loh ga boleh naksir awokwik ",2
101,2022-04-05 13:41:48+00:00," kaktus kakak adik tanpa status hiyahiyahiya maaf aku becanda jgn dihiraukan ",0
102,2022-04-05 13:29:27+00:00," abang ",1
103,2022-04-05 13:04:53+00:00," bang ryan ketika melihat ini selamat ya buat para vtuber termasuk kamu ya mitindalam hatinya aduuu ",2
104,2022-04-05 12:56:21+00:00," yah jdinya gk donk hehehe ",0
105,2022-04-05 12:53:56+00:00," andi adalah cowok cantik ",0
106,2022-04-05 12:52:56+00:00," kalian berdua cakep bet awawawa huweee ",2
107,2022-04-05 12:45:46+00:00," andi punya adik nih ceritanya ",2
108,2022-04-05 12:38:18+00:00," mantap jadi kayak adek kakak yg mau liburan musim panas ",2
109,2022-04-05 12:22:42+00:00," uhuyy akhirnya pny abang berkat papa ",2
110,2022-04-05 12:16:17+00:00," ganbarre miti jangan sampe sakit karena streaming kamu padat ",2
111,2022-04-05 12:16:11+00:00," abang atau ayang nih mit aduuhh ",2
112,2022-04-05 12:13:32+00:00," kakak adik yang menggemaskan ",2
113,2022-04-05 12:13:05+00:00," nono masih inconsistent banget ini ",0
114,2022-04-05 12:10:41+00:00," hadiahnya apa mit ciaaaakhh sama sama punya outfit baru wkwkwkwkwkk nhadiahnya apa mit ciuman ",2
115,2022-04-05 12:09:37+00:00," huwahh ku beneran baru tau ",2
116,2022-04-05 12:09:26+00:00," wah punya abang ganteng pula mantap mitimitimitimiii ",2
117,2022-04-05 12:09:06+00:00," hadiah buat andi apa mit napa jangan jangan di kasih kecupan manis ",0
118,2022-04-05 12:08:56+00:00," sitampan dan sicantik ",2
119,2022-04-05 12:07:57+00:00," sekarang jadi abang atau adeknya kakak miti ",0
120,2022-04-05 12:06:47+00:00," mana p ape strimnya we want team keimiri or team migoyo in action again with fun acts and talks ",2
121,2022-04-05 10:45:13+00:00," bukber bareng pacar hmmm ",2
122,2022-04-05 10:44:06+00:00," bukber oplen langsung otw nih wkwkwk ",2
123,2022-04-05 10:34:47+00:00," bukber bareng ayang ",2
124,2022-04-05 10:32:54+00:00," apa yaa ",2
125,2022-04-05 10:18:24+00:00," saatnya begadang ",2
126,2022-04-05 10:18:00+00:00," bukber sm temen cuma wacana nmending bukber sm mitii nawokawokawokawok ",2
127,2022-04-05 10:06:37+00:00," waduh kakak menjadi salah satu haremnya ",2
128,2022-04-05 10:02:19+00:00," kok sahur talk aku kelewatan ya ",2
129,2022-04-05 10:00:44+00:00," sahur dan buka ditemani yang mulia let s go ",2
130,2022-04-05 09:59:36+00:00," makasih jadwalnya miti asik sahur dan bukber ",2
131,2022-04-05 09:57:13+00:00," bukber bareng pacar gmne ceritanya mit ",2
132,2022-04-05 09:55:25+00:00," oh no masuk jam mlm ",2
133,2022-04-05 09:53:35+00:00," kelemot an mod berawal dr oshi canda mit loon ",0
134,2022-04-05 09:51:18+00:00," wuihh asikkk aku ga ikut puasa sbnrnya but yes why not semoga bs bangun sih wwnditunggu yaa ",2
135,2022-04-05 09:51:03+00:00," ga sendiri dong kan ada kita yang nemanin nantii ",2
136,2022-04-05 09:49:23+00:00," wait what maksudnya afah yah mit bukber dengan pacar ",0
137,2022-04-05 09:49:00+00:00," anda pacaran sma diri sndiri ",0
138,2022-04-05 09:44:52+00:00," ga pedulij ",0
139,2022-04-05 09:44:04+00:00," aaaa bukber bareng ayang ",2
140,2022-04-05 09:44:03+00:00," makasih schedule nya mitii bakal asik nih sahur ama ngabuburit nya nanti ",2
141,2022-04-05 09:43:42+00:00," pacar siapa tuuhh ",1
142,2022-04-05 09:43:05+00:00," uwogh bukber gatuh ",1
143,2022-04-05 07:41:01+00:00," sheeeeesshhh reflek dan skill gua pas liat video ini langsung stonks beneran wkwkwkwkwkk ",2
144,2022-04-05 01:47:46+00:00," pagi sayangku nditunggu schedule nyaaa ",2
145,2022-04-05 00:29:36+00:00," mit coba cek ini ",2
146,2022-04-05 00:08:35+00:00," pagi mythiii ",2
147,2022-04-05 00:00:01+00:00," ohaaaaamitiiiwwwww havenice day sweetie nazekk ditunggu ya cantik ",2
148,2022-04-04 22:31:01+00:00,"tadi pas ngestream nunggu saur lupa run as administrator di obs jadi patah patah dan burik streamnya nmotongnya ",2
149,2022-04-04 17:49:18+00:00," ada opsi time out dipake ",2
150,2022-04-04 17:10:00+00:00," wih ada yutuber ygy ",2
151,2022-04-04 17:05:54+00:00," chat live nya kenapa bang ",2
152,2022-04-04 13:01:32+00:00," istirahat miti jangan dipaksa semangat terus emang bocil toc kurang ajar kalo chat ga mikir dulu ",2
153,2022-04-04 11:54:02+00:00," kalau butuh break gpp ",2
154,2022-04-04 11:26:19+00:00," kau kenapa mit ada yang bisa jelasin ",2
155,2022-04-04 11:22:50+00:00," kalo boleh tau masalahnya apa ya ",2
156,2022-04-04 11:17:05+00:00," aku hanya bisa bilangterbiasalah didunia ini memang harus ada yang bisa beradaptasi dalam bentuk apapun ",2
157,2022-04-04 09:17:00+00:00," yg sabar mitimi ",2
158,2022-04-04 08:11:52+00:00," aku tau dan selasa aku harus ujian ukk sial ",0
159,2022-04-04 08:05:38+00:00," biasalah ",2
160,2022-04-04 07:13:56+00:00," tbh aku udh jarang mampir jadi gatau separah apa cuma sblm aku jarang mampir udh cukup annoying eman ",0
161,2022-04-04 04:48:26+00:00," wuw ngeri ngeri sedep ",1
162,2022-04-04 04:10:46+00:00," hmm toctivity kahh untuk dititik ini aku cmn bisa saranin stream di twitch aku gk tau konteks ",2
163,2022-04-04 04:05:30+00:00," om mau tanya cara update minecraft nya bgmn ",1
164,2022-04-04 03:48:13+00:00," emangnya kenapa gitu chatnya sorry banget soalnya blm sempet nonton ",1
165,2022-04-04 02:06:44+00:00," parah kah mit aku minta maaf ya kalo ga sempat jagain streamnya nmaaf banget gabisa dateng karena ket ",2
166,2022-04-04 01:43:49+00:00," lah parah banget berarti isi chatnya ",2
167,2022-04-04 01:34:38+00:00," semoga kedepannya chat bs lebih konsusif lagi aku cmn bs berharap dan support kamu gabisa ngapa in selain itu ",2
168,2022-04-04 01:33:50+00:00," parah banget kah aku minta maaf ya kamu udh ngerasain gini brp kali nanak cantik ga pantes ",0
169,2022-04-04 01:02:19+00:00,"lohh apa ini miti ",1
170,2022-04-04 00:35:16+00:00," ganba sayang ",2
171,2022-04-04 00:30:51+00:00," mungkin kalau mau kasi saran mau stream having fun mending di twitch karna di twitch yang nonton leb ",2
172,2022-04-04 00:25:01+00:00," pengen heran cuma yang komen dari wakanda ",0
173,2022-04-04 00:20:33+00:00," semangat myth yah ini emang resiko jadi vtuber yang melokal sih bocil toc biadabnya ga terhitung ",2
174,2022-04-03 23:49:48+00:00," tolong ya yang komen kalo punya otak tuh di pake ",0
175,2022-04-03 23:27:20+00:00," bawa ke tempat cambuk sekalian ",2
176,2022-04-03 23:01:58+00:00," hug virtual for you mitini m so sorry miti jujur jam segitu udh tepar mulu aku dan maaf krn gak j ",2
177,2022-04-03 22:44:12+00:00," teh ayo buka puasa bareng ",2
178,2022-04-03 22:06:30+00:00,"otsukare thank you for the stream maaf cuma mampir bentar walaupun cu ",2
179,2022-04-03 21:55:57+00:00," remember just having fun dont care about the chat especially indonesia netizen aku dh debatin jug ",0
180,2022-04-03 21:44:48+00:00," gam ngikut stream miti dah mending turu semoga hari besok jadi lebih baik ",0
181,2022-04-03 21:42:49+00:00," im so sorry mit i was fall asleep nand semangat terus mit orang orang yang kaya gitu semoga gaada l ",2
182,2022-04-03 21:29:03+00:00," mitiiiiaw sini aku bonk chatnya gt o ",0
183,2022-04-03 21:27:09+00:00," saya ga nonton stream terakhirnya tolong konteksnya dong temen ",0
184,2022-04-03 21:18:03+00:00," jngn peduliin toc people mit msh banyak orang yg care sma km ",2
185,2022-04-03 21:15:39+00:00," semangat kak miti ",2
186,2022-04-03 21:03:44+00:00," otsuuu mit jaga kesehatan dan met istirahat ",2
187,2022-04-03 20:54:19+00:00," sahur dulu bre ",1
188,2022-04-03 20:49:28+00:00," otsumiti gapapa mitt istirahat lebih di utamakan tetap jaga kesehatan miti you have to be strong from all this ",2
189,2022-04-03 20:45:47+00:00," istirahat aja sayangku jngan dipaksain udh capek fisik irl ttep stream buat nyapa orang kl ",2
190,2022-04-03 20:32:13+00:00," sayangnya aku gak bisa ikutan nonton but please take care of yourself otsu ",2
191,2022-04-03 20:30:32+00:00," otsumiti meet bobo ya gak usah dengerin apa kata mereka tinggal dm nama namanya biar aku santet satu satu ",2
192,2022-04-03 20:01:57+00:00," otsukare mitiiii istirahat mata kamu main ape sambil baca chat emang bikin pusing dan juga belum l ",2
193,2022-04-03 19:51:25+00:00," selamat istirahat ka mit ",2
194,2022-04-03 19:40:28+00:00," otsu mitii nsabar mit emang kayak gitu kalok sudah terkenal ",2
195,2022-04-03 19:25:14+00:00," otsuu mitii nudh mit istirahat ae kebiasaan emng chat begitu ",2
196,2022-04-03 19:19:29+00:00," takerest miti jangan peduliin mereka nmet istirahatt otsumiti ",2
197,2022-04-03 19:16:21+00:00," catet namanya nanti satu satu saya pukulin ",0
198,2022-04-03 18:35:47+00:00," gua belum tidur karena nungguin balapan ",2
199,2022-04-03 18:04:34+00:00," gasskeun nonton pov wkwkwkwkwkk ",2
200,2022-04-03 17:59:50+00:00," fi nonton pov ",2
201,2022-04-03 17:47:29+00:00," pagi pagi ape sampe lumpuh ",0
202,2022-04-03 17:43:24+00:00," semoga sukses stremnya mit ",2
203,2022-04-03 17:26:39+00:00," ikzzz ape sampai sahur ",2
204,2022-04-03 17:21:32+00:00,"siapa yang belom tidur nungguin saur nape letsgoo njam start nwith amp ",2
205,2022-04-03 15:57:13+00:00," jangan kasar yah ",0
206,2022-04-03 15:18:45+00:00," sekalinya sakit bulan kemudian ",2
207,2022-04-03 14:04:50+00:00," kak miti ngimana tadi pertama kali puasa nlancar kah ",2
208,2022-04-03 13:15:11+00:00," kamu diem atau aku hamilin ",0
209,2022-04-03 12:58:50+00:00," bagus bangat skinya saya sudah coba dan warna kulitnya pas ",2
210,2022-04-03 12:57:26+00:00," yang mau dihamilin chat aja ",0
211,2022-04-03 12:47:03+00:00," kamu baik sekali aku kasi bintang ",2
212,2022-04-03 12:43:00+00:00," ganba kaliannn ",2
213,2022-04-03 12:19:48+00:00," ncampur aduk bgt rsny beb gtw mau reaksi gmn ",0
214,2022-04-03 12:17:18+00:00," kamu kan jantan ",0
215,2022-04-03 12:04:32+00:00," mau nyuci piring ",1
216,2022-04-03 11:28:16+00:00," biasalaaa kelakuan random peeps ",2
217,2022-04-03 10:55:46+00:00," miti kan memang cakep huehehehehe ",2
218,2022-04-03 10:45:09+00:00," bajak laut ",1
219,2022-04-03 10:43:41+00:00," uwu uwu ilopyu ",2
220,2022-04-03 10:30:32+00:00," imut parah ",2
221,2022-04-03 09:31:31+00:00," asik dimasakin miti uwu ",2
222,2022-04-03 09:27:33+00:00," bole mit biar ada yang masakin saur ",2
223,2022-04-03 09:25:39+00:00," maid tapi nyuruh nyuruh tuannya ya mit ",2
224,2022-04-03 09:18:16+00:00," sure ntapi yaa mendingan tetep jadi pacar kamu ga sieh ",2
225,2022-04-03 09:14:56+00:00," wahhh bisa di suruh suruh nihh hehehehehe ",2
226,2022-04-02 22:01:42+00:00," good game bang ari semangat puasanya ",2
227,2022-04-02 20:34:51+00:00," otsuuuuuu maaf lemes banget aku wwwww ",2
228,2022-04-02 16:53:37+00:00," mit jangan lupa istirahat plis jan ngikutin yang ape sampe lumpuh ",2
229,2022-04-02 16:52:32+00:00," mit istirahatnya sdh cukupkah klu blum cukup istirahat and perbanyak glug glug some water yaa ",2
230,2022-04-02 16:49:56+00:00," begadang lagi mit ",2
231,2022-04-02 16:47:04+00:00," otsuuu gpp mit ngobrol nya kan bisa lewat hati ",2
232,2022-04-02 16:28:21+00:00," kayaknya streamnya kepotong but otsu ",2
233,2022-04-02 16:27:57+00:00," otsuu miti nthank you for the stream njangan lupa istirahat ",2
234,2022-04-02 16:24:53+00:00," setelah sekian lama sasaki menahan diri ",2
235,2022-04-02 16:22:04+00:00," pengen lebih deket daan doi ",2
236,2022-04-02 15:55:33+00:00," wibuuu ",0
237,2022-04-02 15:53:01+00:00," mau juga kah ",1
238,2022-04-02 15:47:41+00:00," punya cewe ",1
239,2022-04-02 15:29:14+00:00," ih udh berani ya sasaki san ",2
240,2022-04-02 14:54:56+00:00," mir dan composernya siapa ",2
241,2022-04-02 14:54:15+00:00," mit kamu yang waktu ke karafuru pake baju hitam kan ",2
242,2022-04-02 14:12:07+00:00,"kalau ada apa aku dihamilin ",0
243,2022-04-02 13:57:53+00:00," menggemaskan ",2
244,2022-04-02 13:22:20+00:00," ehh mampir si cantikknsini peluk dulu you did great today ",2
245,2022-04-02 13:18:05+00:00," sasaki to miyano bl itu ",1
246,2022-04-02 13:17:16+00:00," azekkkk gudlak kaliann ",2
247,2022-04-02 13:15:17+00:00," lesgoooo semoga zona mendukung kalian ",2
248,2022-04-02 13:03:53+00:00," menghalu sih ini fi ",0
249,2022-04-02 12:59:35+00:00," miti makasih banyak ",2
250,2022-04-02 12:30:19+00:00," pewenpengen mengendarai be em we ",2
251,2022-04-02 12:17:57+00:00," be like bilangnya belom m m gr gk diingetin sarapan padahal jempolnya masih bau pecel sambel tera ",2
252,2022-04-02 11:28:59+00:00," akwkkakwkak stadium ",1
253,2022-04-02 11:16:27+00:00," teriakkkk ",1
254,2022-04-02 11:15:27+00:00," pasti sedang mode menghalu stadium ",0
255,2022-04-02 11:12:44+00:00," pengen gawe ",1
256,2022-04-02 10:41:01+00:00," kartun apa itu di tv ada gak ",1
257,2022-04-02 10:37:40+00:00," sumpah teriak bgt aaaaa ",2
258,2022-04-02 10:34:17+00:00," indomie rasa baru mit kamu pasti suka sama mie ini sambil ngehalu wkwkwkwkwkk ",0
259,2022-04-02 10:30:21+00:00," agshshshs belum dilanjut nonton ",1
260,2022-04-02 10:30:16+00:00," sasaki mmhh bau sabun ",0
261,2022-04-02 10:28:02+00:00," ngehalu kah mit ",0
262,2022-04-02 10:28:02+00:00," cuman kartun dek ",0
263,2022-04-02 10:20:14+00:00,"mit pasti kamu suka mit ",1
264,2022-04-02 10:20:00+00:00," udah tua emang ",0
265,2022-04-02 09:27:37+00:00," banger ",1
266,2022-04-02 08:58:44+00:00," pengen puasa ",1
267,2022-04-02 07:56:12+00:00," omagah mittttt bagus banget ey kualitasnya udah kayak yang aslinya ",2
268,2022-04-02 07:45:32+00:00," nasi padang ",1
269,2022-04-02 07:08:59+00:00," pengen mcd kah ",2
270,2022-04-02 06:28:36+00:00," jadi opening keren nih ",2
271,2022-04-02 05:24:26+00:00," ngegame ",2
272,2022-04-02 05:24:18+00:00," udin petot udara dingin pengen ng ",0
273,2022-04-02 04:39:01+00:00," gila suaramu selalu bikin takjub ",2
274,2022-04-02 04:36:18+00:00," pengen apa nanti ku beliin deh kalo ada duit ",1
275,2022-04-02 04:14:08+00:00," pengen duwek selawe ",2
276,2022-04-02 03:44:20+00:00," wedang ",1
277,2022-04-02 02:50:04+00:00," ew ncewe ",1
278,2022-04-02 02:37:38+00:00," sama mit di jogja ada satu deoan hotel tentrem katanya wenak banget ",2
279,2022-04-02 02:36:29+00:00," pengen apa hayongw kah natau ng nope not saying it ",1
280,2022-04-02 02:33:29+00:00," cewe biar gak alone lagi ",1
281,2022-04-02 02:24:38+00:00," anjaayyyyyyy aakku bohong miti yg bohongg ",0
282,2022-04-02 02:11:50+00:00,"gak sempet ikutan kompetisi karena sama sama lagi sibuk kemarin tapi tetep pengen ikut ngeramein ",2
283,2022-04-02 02:08:36+00:00," wedang jahe ",1
284,2022-04-02 02:08:22+00:00," nih gw bales aowkoqkww ",1
285,2022-04-02 01:45:53+00:00," bisa ae wkwk ",1
286,2022-04-02 01:35:09+00:00," aku benci fikiranku ",0
287,2022-04-02 00:40:22+00:00," pagiku disambut suara merdu miti ily mit ",2
288,2022-04-02 00:22:16+00:00," bagus bgt suaranya ",2
289,2022-04-01 23:49:56+00:00," sama indahnya kamu juga kok ",2
290,2022-04-01 23:29:18+00:00," baguuuss banget waaaaaahhh naku aja nggak bisa sampe segitu ",2
291,2022-04-01 21:49:17+00:00," bro indah banget g ngerti ",2
292,2022-04-01 21:48:46+00:00," suarany emg gada obat ",2
293,2022-04-01 21:48:02+00:00," indah banget ga paham lagi ",2
294,2022-04-01 19:11:23+00:00," bruh bagus banget ",2
295,2022-04-01 18:31:16+00:00," pengen cakwe malem malem mit ga ada yang buka ",2
296,2022-04-01 18:29:15+00:00," gawe nbiar dapet duit hehe ",2
297,2022-04-01 18:28:46+00:00," enak tuh ",2
298,2022-04-01 18:27:55+00:00," gawe biar dapet duit ",0
299,2022-04-01 16:02:16+00:00," dan mereka pun bahagia di jerman wkwkwk ",2
300,2022-04-01 14:13:34+00:00," waduh kak miti ",0
301,2022-04-01 14:07:52+00:00," ama nee habis menipu langsung memberi kejutan rencana yang hebat memelbuat orang mara ",0
302,2022-04-01 13:57:13+00:00,"otsumayaaa otsumitiiii tips nyanyi dari ka miti guys nbuat yang belum nonton original song ",2
303,2022-04-01 13:32:30+00:00," astagfirullah mau ramadhan tydack ramah ",0
304,2022-04-01 13:07:11+00:00," sejam loh mit ",0
305,2022-04-01 13:06:26+00:00," parah ngeprank ",0
306,2022-04-01 12:55:22+00:00," cape kena trap ",0
307,2022-04-01 12:54:47+00:00," untung sayang ",2
308,2022-04-01 12:48:36+00:00," hari ini aku banyak kena trap ",0
309,2022-04-01 12:38:58+00:00," bentar gmna ",1
310,2022-04-01 12:36:26+00:00," anjayyy miti bohong april yang bohong ",0
311,2022-04-01 12:34:15+00:00," kwkwkw kiw mit ",1
312,2022-04-01 12:31:50+00:00,"kena prank ",0
313,2022-04-01 12:30:23+00:00," gg kamu mit wkwkwkwkwkk ",0
314,2022-04-01 12:23:29+00:00," anjay miti bohong youtube yang bohong ",0
315,2022-04-01 12:20:45+00:00," kamu bohong ",0
316,2022-04-01 12:19:54+00:00," pengen pukul untung sayang ",0
317,2022-04-01 12:17:38+00:00," mit ku kira kau kenapa ternyata prank sedihnya ",0
318,2022-04-01 12:17:18+00:00," untung kanjeng ygy ",0
319,2022-04-01 12:16:57+00:00," yah gitu deh ",1
320,2022-04-01 12:15:57+00:00," ya gimana yah mit nkocak sih akwoakwoqkqoak ",2
321,2022-04-01 12:12:44+00:00," hmm wakatta ",1
322,2022-04-01 12:09:01+00:00," selamat anda kena prank hadeuuh ",0
323,2022-04-01 12:06:51+00:00," ampe lupa kan nais ",1
324,2022-04-01 12:05:05+00:00," damn gws ",0
325,2022-04-01 12:04:58+00:00," cukup menteri agama yang ngeselin kamu jangan ya ",0
326,2022-04-01 12:04:39+00:00," terprank k orang ",0
327,2022-04-01 12:04:32+00:00," tiba tiba keluar rickroll lucu juga ",0
328,2022-04-01 12:04:27+00:00," ya gitu dah denger backsound doang ",0
329,2022-04-01 12:04:26+00:00,"kegabutan untuk april ini adalah loading screen selama menit nggak sekalian jam sampe s ",0
330,2022-04-01 12:02:38+00:00,"mit gelut yok mnt dengerin bgm doang mythialive mythiabatford ",0
331,2022-04-01 12:02:34+00:00," wah parah sih lu mit ",0
332,2022-04-01 12:02:33+00:00," apa motifmu hmmm ",0
