Date,Content,prediction
2022-04-05 13:29:27+00:00, abang ,2
2022-04-05 13:04:53+00:00, bang ryan ketika melihat ini selamat ya buat para vtuber termasuk kamu ya mitindalam hatinya aduuu ,1
2022-04-05 12:56:21+00:00, yah jdinya gk donk hehehe ,2
2022-04-05 12:53:56+00:00, andi adalah cowok cantik ,2
2022-04-05 12:52:56+00:00, kalian berdua cakep bet awawawa huweee ,1
2022-04-05 12:45:46+00:00, andi punya adik nih ceritanya ,2
2022-04-05 12:38:18+00:00, mantap jadi kayak adek kakak yg mau liburan musim panas ,0
2022-04-05 12:22:42+00:00, uhuyy akhirnya pny abang berkat papa ,2
2022-04-05 12:16:17+00:00, ganbarre miti jangan sampe sakit karena streaming kamu padat ,0
2022-04-05 12:16:11+00:00, abang atau ayang nih mit aduuhh ,2
2022-04-05 12:13:32+00:00, kakak adik yang menggemaskan ,0
2022-04-05 12:13:05+00:00, nono masih inconsistent banget ini ,0
2022-04-05 12:10:41+00:00, hadiahnya apa mit ciaaaakhh sama sama punya outfit baru wkwkwkwkwkk nhadiahnya apa mit ciuman ,0
2022-04-05 12:09:37+00:00, huwahh ku beneran baru tau ,1
2022-04-05 12:09:26+00:00, wah punya abang ganteng pula mantap mitimitimitimiii ,2
2022-04-05 12:09:06+00:00, hadiah buat andi apa mit napa jangan jangan di kasih kecupan manis ,0
2022-04-05 12:08:56+00:00, sitampan dan sicantik ,1
2022-04-05 12:07:57+00:00, sekarang jadi abang atau adeknya kakak miti ,1
2022-04-05 12:06:47+00:00, mana p ape strimnya we want team keimiri or team migoyo in action again with fun acts and talks ,0
2022-04-05 10:45:13+00:00, bukber bareng pacar hmmm ,1
2022-04-05 10:44:06+00:00, bukber oplen langsung otw nih wkwkwk ,0
2022-04-05 10:34:47+00:00, bukber bareng ayang ,1
2022-04-05 10:32:54+00:00, apa yaa ,0
2022-04-05 10:18:24+00:00, saatnya begadang ,2
2022-04-05 10:18:00+00:00, bukber sm temen cuma wacana nmending bukber sm mitii nawokawokawokawok ,2
2022-04-05 10:06:37+00:00, waduh kakak menjadi salah satu haremnya ,2
2022-04-05 10:02:19+00:00, kok sahur talk aku kelewatan ya ,0
2022-04-05 10:00:44+00:00, sahur dan buka ditemani yang mulia let s go ,0
2022-04-05 09:59:36+00:00, makasih jadwalnya miti asik sahur dan bukber ,1
2022-04-05 09:57:13+00:00, bukber bareng pacar gmne ceritanya mit ,1
2022-04-05 09:55:25+00:00, oh no masuk jam mlm ,1
2022-04-05 09:53:35+00:00, kelemot an mod berawal dr oshi canda mit loon ,2
2022-04-05 09:51:18+00:00, wuihh asikkk aku ga ikut puasa sbnrnya but yes why not semoga bs bangun sih wwnditunggu yaa ,0
2022-04-05 09:51:03+00:00, ga sendiri dong kan ada kita yang nemanin nantii ,0
2022-04-05 09:49:23+00:00, wait what maksudnya afah yah mit bukber dengan pacar ,0
2022-04-05 09:49:00+00:00, anda pacaran sma diri sndiri ,2
2022-04-05 09:44:52+00:00, ga pedulij ,0
2022-04-05 09:44:04+00:00, aaaa bukber bareng ayang ,1
2022-04-05 09:44:03+00:00, makasih schedule nya mitii bakal asik nih sahur ama ngabuburit nya nanti ,1
2022-04-05 09:43:42+00:00, pacar siapa tuuhh ,2
2022-04-05 09:43:05+00:00, uwogh bukber gatuh ,2
2022-04-05 07:41:01+00:00, sheeeeesshhh reflek dan skill gua pas liat video ini langsung stonks beneran wkwkwkwkwkk ,0
2022-04-05 01:47:46+00:00, pagi sayangku nditunggu schedule nyaaa ,2
2022-04-05 00:29:36+00:00, mit coba cek ini ,0
2022-04-05 00:08:35+00:00, pagi mythiii ,2
2022-04-05 00:00:01+00:00, ohaaaaamitiiiwwwww havenice day sweetie nazekk ditunggu ya cantik ,0
2022-04-04 22:31:01+00:00,tadi pas ngestream nunggu saur lupa run as administrator di obs jadi patah patah dan burik streamnya nmotongnya ,1
2022-04-04 17:49:18+00:00, ada opsi time out dipake ,1
2022-04-04 17:10:00+00:00, wih ada yutuber ygy ,1
2022-04-04 17:05:54+00:00, chat live nya kenapa bang ,2
2022-04-04 13:01:32+00:00, istirahat miti jangan dipaksa semangat terus emang bocil toc kurang ajar kalo chat ga mikir dulu ,0
2022-04-04 11:54:02+00:00, kalau butuh break gpp ,2
2022-04-04 11:26:19+00:00, kau kenapa mit ada yang bisa jelasin ,0
2022-04-04 11:22:50+00:00, kalo boleh tau masalahnya apa ya ,0
2022-04-04 11:17:05+00:00, aku hanya bisa bilangterbiasalah didunia ini memang harus ada yang bisa beradaptasi dalam bentuk apapun ,0
2022-04-04 09:17:00+00:00, yg sabar mitimi ,0
2022-04-04 08:11:52+00:00, aku tau dan selasa aku harus ujian ukk sial ,0
2022-04-04 08:05:38+00:00, biasalah ,2
2022-04-04 07:13:56+00:00, tbh aku udh jarang mampir jadi gatau separah apa cuma sblm aku jarang mampir udh cukup annoying eman ,1
2022-04-04 04:48:26+00:00, wuw ngeri ngeri sedep ,2
2022-04-04 04:10:46+00:00, hmm toctivity kahh untuk dititik ini aku cmn bisa saranin stream di twitch aku gk tau konteks ,0
2022-04-04 04:05:30+00:00, om mau tanya cara update minecraft nya bgmn ,0
2022-04-04 03:48:13+00:00, emangnya kenapa gitu chatnya sorry banget soalnya blm sempet nonton ,2
2022-04-04 02:06:44+00:00, parah kah mit aku minta maaf ya kalo ga sempat jagain streamnya nmaaf banget gabisa dateng karena ket ,0
2022-04-04 01:43:49+00:00, lah parah banget berarti isi chatnya ,2
2022-04-04 01:34:38+00:00, semoga kedepannya chat bs lebih konsusif lagi aku cmn bs berharap dan support kamu gabisa ngapa in selain itu ,0
2022-04-04 01:33:50+00:00, parah banget kah aku minta maaf ya kamu udh ngerasain gini brp kali nanak cantik ga pantes ,0
2022-04-04 01:02:19+00:00,lohh apa ini miti ,0
2022-04-04 00:35:16+00:00, ganba sayang ,2
2022-04-04 00:30:51+00:00, mungkin kalau mau kasi saran mau stream having fun mending di twitch karna di twitch yang nonton leb ,0
2022-04-04 00:25:01+00:00, pengen heran cuma yang komen dari wakanda ,0
2022-04-04 00:20:33+00:00, semangat myth yah ini emang resiko jadi vtuber yang melokal sih bocil toc biadabnya ga terhitung ,0
2022-04-03 23:49:48+00:00, tolong ya yang komen kalo punya otak tuh di pake ,0
2022-04-03 23:27:20+00:00, bawa ke tempat cambuk sekalian ,1
2022-04-03 23:01:58+00:00, hug virtual for you mitini m so sorry miti jujur jam segitu udh tepar mulu aku dan maaf krn gak j ,1
2022-04-03 22:44:12+00:00, teh ayo buka puasa bareng ,1
2022-04-03 22:06:30+00:00,otsukare thank you for the stream maaf cuma mampir bentar walaupun cu ,1
2022-04-03 21:55:57+00:00, remember just having fun dont care about the chat especially indonesia netizen aku dh debatin jug ,0
2022-04-03 21:44:48+00:00, gam ngikut stream miti dah mending turu semoga hari besok jadi lebih baik ,2
2022-04-03 21:42:49+00:00, im so sorry mit i was fall asleep nand semangat terus mit orang orang yang kaya gitu semoga gaada l ,2
2022-04-03 21:29:03+00:00, mitiiiiaw sini aku bonk chatnya gt o ,0
2022-04-03 21:27:09+00:00, saya ga nonton stream terakhirnya tolong konteksnya dong temen ,0
2022-04-03 21:18:03+00:00, jngn peduliin toc people mit msh banyak orang yg care sma km ,0
2022-04-03 21:15:39+00:00, semangat kak miti ,2
2022-04-03 21:03:44+00:00, otsuuu mit jaga kesehatan dan met istirahat ,1
2022-04-03 20:54:19+00:00, sahur dulu bre ,0
2022-04-03 20:49:28+00:00, otsumiti gapapa mitt istirahat lebih di utamakan tetap jaga kesehatan miti you have to be strong from all this ,0
2022-04-03 20:45:47+00:00, istirahat aja sayangku jngan dipaksain udh capek fisik irl ttep stream buat nyapa orang kl ,1
2022-04-03 20:32:13+00:00, sayangnya aku gak bisa ikutan nonton but please take care of yourself otsu ,0
2022-04-03 20:30:32+00:00, otsumiti meet bobo ya gak usah dengerin apa kata mereka tinggal dm nama namanya biar aku santet satu satu ,0
2022-04-03 20:01:57+00:00, otsukare mitiiii istirahat mata kamu main ape sambil baca chat emang bikin pusing dan juga belum l ,1
2022-04-03 19:51:25+00:00, selamat istirahat ka mit ,2
2022-04-03 19:40:28+00:00, otsu mitii nsabar mit emang kayak gitu kalok sudah terkenal ,2
2022-04-03 19:25:14+00:00, otsuu mitii nudh mit istirahat ae kebiasaan emng chat begitu ,2
2022-04-03 19:19:29+00:00, takerest miti jangan peduliin mereka nmet istirahatt otsumiti ,0
2022-04-03 19:16:21+00:00, catet namanya nanti satu satu saya pukulin ,0
2022-04-03 18:35:47+00:00, gua belum tidur karena nungguin balapan ,2
2022-04-03 18:04:34+00:00, gasskeun nonton pov wkwkwkwkwkk ,2
2022-04-03 17:59:50+00:00, fi nonton pov ,2
2022-04-03 17:47:29+00:00, pagi pagi ape sampe lumpuh ,2
2022-04-03 17:43:24+00:00, semoga sukses stremnya mit ,2
2022-04-03 17:26:39+00:00, ikzzz ape sampai sahur ,2
2022-04-03 17:21:32+00:00,siapa yang belom tidur nungguin saur nape letsgoo njam start nwith amp ,0
2022-04-03 15:57:13+00:00, jangan kasar yah ,0
2022-04-03 15:18:45+00:00, sekalinya sakit bulan kemudian ,2
2022-04-03 14:04:50+00:00, kak miti ngimana tadi pertama kali puasa nlancar kah ,2
2022-04-03 13:15:11+00:00, kamu diem atau aku hamilin ,0
2022-04-03 12:58:50+00:00, bagus bangat skinya saya sudah coba dan warna kulitnya pas ,2
2022-04-03 12:57:26+00:00, yang mau dihamilin chat aja ,0
2022-04-03 12:47:03+00:00, kamu baik sekali aku kasi bintang ,0
2022-04-03 12:43:00+00:00, ganba kaliannn ,2
2022-04-03 12:19:48+00:00, ncampur aduk bgt rsny beb gtw mau reaksi gmn ,0
2022-04-03 12:17:18+00:00, kamu kan jantan ,0
2022-04-03 12:04:32+00:00, mau nyuci piring ,0
2022-04-03 11:28:16+00:00, biasalaaa kelakuan random peeps ,2
2022-04-03 10:55:46+00:00, miti kan memang cakep huehehehehe ,0
2022-04-03 10:45:09+00:00, bajak laut ,2
2022-04-03 10:43:41+00:00, uwu uwu ilopyu ,2
2022-04-03 10:30:32+00:00, imut parah ,2
2022-04-03 09:31:31+00:00, asik dimasakin miti uwu ,2
2022-04-03 09:27:33+00:00, bole mit biar ada yang masakin saur ,0
2022-04-03 09:25:39+00:00, maid tapi nyuruh nyuruh tuannya ya mit ,0
2022-04-03 09:18:16+00:00, sure ntapi yaa mendingan tetep jadi pacar kamu ga sieh ,0
2022-04-03 09:14:56+00:00, wahhh bisa di suruh suruh nihh hehehehehe ,0
2022-04-02 22:01:42+00:00, good game bang ari semangat puasanya ,2
2022-04-02 20:34:51+00:00, otsuuuuuu maaf lemes banget aku wwwww ,0
2022-04-02 16:53:37+00:00, mit jangan lupa istirahat plis jan ngikutin yang ape sampe lumpuh ,0
2022-04-02 16:52:32+00:00, mit istirahatnya sdh cukupkah klu blum cukup istirahat and perbanyak glug glug some water yaa ,2
2022-04-02 16:49:56+00:00, begadang lagi mit ,0
2022-04-02 16:47:04+00:00, otsuuu gpp mit ngobrol nya kan bisa lewat hati ,2
2022-04-02 16:28:21+00:00, kayaknya streamnya kepotong but otsu ,2
2022-04-02 16:27:57+00:00, otsuu miti nthank you for the stream njangan lupa istirahat ,1
2022-04-02 16:24:53+00:00, setelah sekian lama sasaki menahan diri ,2
2022-04-02 16:22:04+00:00, pengen lebih deket daan doi ,2
2022-04-02 15:55:33+00:00, wibuuu ,2
2022-04-02 15:53:01+00:00, mau juga kah ,0
2022-04-02 15:47:41+00:00, punya cewe ,2
2022-04-02 15:29:14+00:00, ih udh berani ya sasaki san ,0
2022-04-02 14:54:56+00:00, mir dan composernya siapa ,1
2022-04-02 14:54:15+00:00, mit kamu yang waktu ke karafuru pake baju hitam kan ,0
2022-04-02 14:12:07+00:00,kalau ada apa aku dihamilin ,0
2022-04-02 13:57:53+00:00, menggemaskan ,2
2022-04-02 13:22:20+00:00, ehh mampir si cantikknsini peluk dulu you did great today ,0
2022-04-02 13:18:05+00:00, sasaki to miyano bl itu ,0
2022-04-02 13:17:16+00:00, azekkkk gudlak kaliann ,2
2022-04-02 13:15:17+00:00, lesgoooo semoga zona mendukung kalian ,1
2022-04-02 13:03:53+00:00, menghalu sih ini fi ,0
2022-04-02 12:59:35+00:00, miti makasih banyak ,2
2022-04-02 12:30:19+00:00, pewenpengen mengendarai be em we ,2
2022-04-02 12:17:57+00:00, be like bilangnya belom m m gr gk diingetin sarapan padahal jempolnya masih bau pecel sambel tera ,0
2022-04-02 11:28:59+00:00, akwkkakwkak stadium ,2
2022-04-02 11:16:27+00:00, teriakkkk ,2
2022-04-02 11:15:27+00:00, pasti sedang mode menghalu stadium ,1
2022-04-02 11:12:44+00:00, pengen gawe ,2
2022-04-02 10:41:01+00:00, kartun apa itu di tv ada gak ,0
2022-04-02 10:37:40+00:00, sumpah teriak bgt aaaaa ,2
2022-04-02 10:34:17+00:00, indomie rasa baru mit kamu pasti suka sama mie ini sambil ngehalu wkwkwkwkwkk ,0
2022-04-02 10:30:21+00:00, agshshshs belum dilanjut nonton ,2
2022-04-02 10:30:16+00:00, sasaki mmhh bau sabun ,2
2022-04-02 10:28:02+00:00, ngehalu kah mit ,2
2022-04-02 10:28:02+00:00, cuman kartun dek ,2
2022-04-02 10:20:14+00:00,mit pasti kamu suka mit ,0
2022-04-02 10:20:00+00:00, udah tua emang ,2
2022-04-02 09:27:37+00:00, banger ,2
2022-04-02 08:58:44+00:00, pengen puasa ,2
2022-04-02 07:56:12+00:00, omagah mittttt bagus banget ey kualitasnya udah kayak yang aslinya ,2
2022-04-02 07:45:32+00:00, nasi padang ,2
2022-04-02 07:08:59+00:00, pengen mcd kah ,2
2022-04-02 06:28:36+00:00, jadi opening keren nih ,2
2022-04-02 05:24:26+00:00, ngegame ,2
2022-04-02 05:24:18+00:00, udin petot udara dingin pengen ng ,2
2022-04-02 04:39:01+00:00, gila suaramu selalu bikin takjub ,2
2022-04-02 04:36:18+00:00, pengen apa nanti ku beliin deh kalo ada duit ,0
2022-04-02 04:14:08+00:00, pengen duwek selawe ,2
2022-04-02 03:44:20+00:00, wedang ,2
2022-04-02 02:50:04+00:00, ew ncewe ,2
2022-04-02 02:37:38+00:00, sama mit di jogja ada satu deoan hotel tentrem katanya wenak banget ,2
2022-04-02 02:36:29+00:00, pengen apa hayongw kah natau ng nope not saying it ,0
2022-04-02 02:33:29+00:00, cewe biar gak alone lagi ,0
2022-04-02 02:24:38+00:00, anjaayyyyyyy aakku bohong miti yg bohongg ,0
2022-04-02 02:11:50+00:00,gak sempet ikutan kompetisi karena sama sama lagi sibuk kemarin tapi tetep pengen ikut ngeramein ,0
2022-04-02 02:08:36+00:00, wedang jahe ,2
2022-04-02 02:08:22+00:00, nih gw bales aowkoqkww ,2
2022-04-02 01:45:53+00:00, bisa ae wkwk ,0
2022-04-02 01:35:09+00:00, aku benci fikiranku ,0
2022-04-02 00:40:22+00:00, pagiku disambut suara merdu miti ily mit ,2
2022-04-02 00:22:16+00:00, bagus bgt suaranya ,2
2022-04-01 23:49:56+00:00, sama indahnya kamu juga kok ,0
2022-04-01 23:29:18+00:00, baguuuss banget waaaaaahhh naku aja nggak bisa sampe segitu ,2
2022-04-01 21:49:17+00:00, bro indah banget g ngerti ,2
2022-04-01 21:48:46+00:00, suarany emg gada obat ,2
2022-04-01 21:48:02+00:00, indah banget ga paham lagi ,0
2022-04-01 19:11:23+00:00, bruh bagus banget ,2
2022-04-01 18:31:16+00:00, pengen cakwe malem malem mit ga ada yang buka ,0
2022-04-01 18:29:15+00:00, gawe nbiar dapet duit hehe ,2
2022-04-01 18:28:46+00:00, enak tuh ,2
2022-04-01 18:27:55+00:00, gawe biar dapet duit ,2
2022-04-01 16:02:16+00:00, dan mereka pun bahagia di jerman wkwkwk ,0
2022-04-01 14:13:34+00:00, waduh kak miti ,2
2022-04-01 14:07:52+00:00, ama nee habis menipu langsung memberi kejutan rencana yang hebat memelbuat orang mara ,0
2022-04-01 13:57:13+00:00,otsumayaaa otsumitiiii tips nyanyi dari ka miti guys nbuat yang belum nonton original song ,0
2022-04-01 13:32:30+00:00, astagfirullah mau ramadhan tydack ramah ,0
2022-04-01 13:07:11+00:00, sejam loh mit ,2
2022-04-01 13:06:26+00:00, parah ngeprank ,2
2022-04-01 12:55:22+00:00, cape kena trap ,2
2022-04-01 12:54:47+00:00, untung sayang ,2
2022-04-01 12:48:36+00:00, hari ini aku banyak kena trap ,0
2022-04-01 12:38:58+00:00, bentar gmna ,2
2022-04-01 12:36:26+00:00, anjayyy miti bohong april yang bohong ,0
2022-04-01 12:34:15+00:00, kwkwkw kiw mit ,2
2022-04-01 12:31:50+00:00,kena prank ,2
2022-04-01 12:30:23+00:00, gg kamu mit wkwkwkwkwkk ,0
2022-04-01 12:23:29+00:00, anjay miti bohong youtube yang bohong ,0
2022-04-01 12:20:45+00:00, kamu bohong ,0
2022-04-01 12:19:54+00:00, pengen pukul untung sayang ,2
2022-04-01 12:17:38+00:00, mit ku kira kau kenapa ternyata prank sedihnya ,2
2022-04-01 12:17:18+00:00, untung kanjeng ygy ,2
2022-04-01 12:16:57+00:00, yah gitu deh ,2
2022-04-01 12:15:57+00:00, ya gimana yah mit nkocak sih akwoakwoqkqoak ,2
2022-04-01 12:12:44+00:00, hmm wakatta ,2
2022-04-01 12:09:01+00:00, selamat anda kena prank hadeuuh ,2
2022-04-01 12:06:51+00:00, ampe lupa kan nais ,2
2022-04-01 12:05:05+00:00, damn gws ,2
2022-04-01 12:04:58+00:00, cukup menteri agama yang ngeselin kamu jangan ya ,0
2022-04-01 12:04:39+00:00, terprank k orang ,2
2022-04-01 12:04:32+00:00, tiba tiba keluar rickroll lucu juga ,2
2022-04-01 12:04:27+00:00, ya gitu dah denger backsound doang ,0
2022-04-01 12:04:26+00:00,kegabutan untuk april ini adalah loading screen selama menit nggak sekalian jam sampe s ,1
2022-04-01 12:02:38+00:00,mit gelut yok mnt dengerin bgm doang mythialive mythiabatford ,2
2022-04-01 12:02:34+00:00, wah parah sih lu mit ,2
2022-04-01 12:02:33+00:00, apa motifmu hmmm ,0
2022-04-01 11:59:48+00:00, oh begitu ternyata ,2
2022-04-01 11:59:45+00:00, aowksiemeismwk ,2
2022-04-01 11:59:31+00:00, no don t eosed me wkwkwkw ,2
2022-04-01 11:59:25+00:00, wkwkwkwkk ,2
2022-04-01 11:59:21+00:00, yaa gimana ya gimana kak ,0
2022-04-01 11:59:16+00:00, owh gitu mit ,2
2022-04-01 11:58:59+00:00, ya gitu ,0
2022-04-01 11:58:21+00:00, kenapa kak miti ,2
2022-04-01 11:57:39+00:00, wkwkwk naisu mit ,0
2022-04-01 11:42:51+00:00, k subscribers sabi sih soalnya itu nomor favorit gua ,0
2022-04-01 09:02:24+00:00, nek mv cover lagu cukup ini punya nenek terbanyak viewsnya nek ,0
2022-04-01 08:37:56+00:00, wah kira kira bakal bahas apa yaaaa ,1
2022-04-01 07:37:43+00:00, aku ga kangen rena lebih kangen ,0
2022-03-31 22:12:15+00:00, gak puasa lu mythia ,0
2022-03-31 17:42:00+00:00, pas banget ngirimnya di menit akhir akwowkowkwok ,2
2022-03-31 16:37:02+00:00, bagus bagus semua rata rata covernya ,2
2022-03-31 16:10:12+00:00, sudah ku duga aku tidak bisa melawan mereka naku sadar suaraku jelek twt ,2
2022-03-31 16:08:55+00:00, bagus covernya hueeee ,2
2022-03-31 13:28:26+00:00, abis ngapain mit ,2
